"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
4,[EN]_18countries,2019-07-15,not_delivering,2551,2688,1.0537044296354,"Leads (form)",1,819.41,819.41,,,304.84002976,7,117.05857143,0.26041666666667,54.62733333,0.55803571,15,23843429940930549,23843429940900549,2019-07-15,2019-07-15
5,[EN]_18countries,2019-07-15,not_delivering,532,578,1.0864661654135,"Leads (form)",1,156.65,156.65,,,271.02076125,2,78.325,0.34602076124567,31.33,0.8650519,5,23843429940910549,23843429940900549,2019-07-15,2019-07-15
3,[EN]_18countries,2019-07-15,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-15,2019-07-15
2,[EN]_18countries,2019-07-15,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-15,2019-07-15
6,[EN]_18countries,2019-07-15,rejected,8020,8826,1.1004987531172,"Leads (form)",17,254.50411764706,4326.57,,,490.20734194,56,77.26017857,0.63448900974394,26.70722222,1.83548606,162,23843429940890549,23843429940900549,2019-07-15,2019-07-15
1,[EN]_18countries,2019-07-15,not_delivering,3445,4074,1.1825834542816,"Leads (form)",7,311.36714285714,2179.57,,,534.99509082,28,77.84178571,0.6872852233677,22.94284211,2.33186058,95,23843429940920549,23843429940900549,2019-07-15,2019-07-15
5,[EN]_18countries,2019-07-14,not_delivering,206,216,1.0485436893204,"Leads (form)",1,65.93,65.93,,,305.23148148,2,32.965,0.92592592592593,13.186,2.31481481,5,23843429940910549,23843429940900549,2019-07-14,2019-07-14
3,[EN]_18countries,2019-07-14,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-14,2019-07-14
2,[EN]_18countries,2019-07-14,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-14,2019-07-14
6,[EN]_18countries,2019-07-14,rejected,5422,5851,1.0791220951678,"Leads (form)",9,335.67333333333,3021.06,,,516.3322509,39,77.46307692,0.66655272602974,30.2106,1.70910955,100,23843429940890549,23843429940900549,2019-07-14,2019-07-14
1,[EN]_18countries,2019-07-14,not_delivering,2583,3009,1.1649245063879,"Leads (form)",7,268.65857142857,1880.61,,,624.99501496,17,110.62411765,0.56497175141243,25.0748,2.49252243,75,23843429940920549,23843429940900549,2019-07-14,2019-07-14
4,[EN]_18countries,2019-07-14,not_delivering,6368,6990,1.097675879397,"Leads (form)",10,232.398,2323.98,,,332.472103,21,110.66571429,0.30042918454936,30.9864,1.07296137,75,23843429940930549,23843429940900549,2019-07-14,2019-07-14
6,[EN]_18countries,2019-07-13,rejected,3192,3496,1.0952380952381,"Leads (form)",7,240.42857142857,1683,,,481.40732265,16,105.1875,0.45766590389016,36.58695652,1.31578947,46,23843429940890549,23843429940900549,2019-07-13,2019-07-13
4,[EN]_18countries,2019-07-13,not_delivering,11724,12330,1.0516888433982,"Leads (form)",12,324.0325,3888.39,,,315.36009732,42,92.58071429,0.34063260340633,43.68977528,0.72181671,89,23843429940930549,23843429940900549,2019-07-13,2019-07-13
1,[EN]_18countries,2019-07-13,not_delivering,664,738,1.1114457831325,"Leads (form)",4,116.8675,467.47,,,633.42818428,6,77.91166667,0.8130081300813,29.216875,2.16802168,16,23843429940920549,23843429940900549,2019-07-13,2019-07-13
5,[EN]_18countries,2019-07-13,not_delivering,79,80,1.0126582278481,"Leads (form)",,,20.97,,,262.125,,,,,0,0,23843429940910549,23843429940900549,2019-07-13,2019-07-13
3,[EN]_18countries,2019-07-13,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-13,2019-07-13
2,[EN]_18countries,2019-07-13,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-13,2019-07-13
4,[EN]_18countries,2019-07-12,not_delivering,8340,9050,1.0851318944844,"Leads (form)",20,141.1985,2823.97,,,312.04088398,43,65.67372093,0.47513812154696,26.64122642,1.17127072,106,23843429940930549,23843429940900549,2019-07-12,2019-07-12
1,[EN]_18countries,2019-07-12,not_delivering,1398,1549,1.1080114449213,"Leads (form)",1,947.15,947.15,,,611.45900581,6,157.85833333,0.38734667527437,47.3575,1.29115558,20,23843429940920549,23843429940900549,2019-07-12,2019-07-12
6,[EN]_18countries,2019-07-12,rejected,5386,5946,1.1039732640178,"Leads (form)",7,347.45142857143,2432.16,,,409.04137235,27,90.08,0.45408678102926,35.24869565,1.160444,69,23843429940890549,23843429940900549,2019-07-12,2019-07-12
2,[EN]_18countries,2019-07-12,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-12,2019-07-12
3,[EN]_18countries,2019-07-12,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-12,2019-07-12
5,[EN]_18countries,2019-07-12,not_delivering,849,874,1.0294464075383,"Leads (form)",,,214.37,,,245.27459954,1,214.37,0.11441647597254,42.874,0.57208238,5,23843429940910549,23843429940900549,2019-07-12,2019-07-12
1,[EN]_18countries,2019-07-11,not_delivering,3612,4001,1.1076965669989,"Leads (form)",5,484.546,2422.73,,,605.53111722,21,115.36809524,0.5248687828043,44.86537037,1.34966258,54,23843429940920549,23843429940900549,2019-07-11,2019-07-11
2,[EN]_18countries,2019-07-11,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-11,2019-07-11
6,[EN]_18countries,2019-07-11,rejected,10812,11699,1.0820384757677,"Leads (form)",12,376.48416666667,4517.81,,,386.17061287,55,82.142,0.47012565176511,32.73775362,1.179588,138,23843429940890549,23843429940900549,2019-07-11,2019-07-11
5,[EN]_18countries,2019-07-11,not_delivering,2275,2439,1.0720879120879,"Leads (form)",,,616.8,,,252.89052891,16,38.55,0.6560065600656,20.56,1.2300123,30,23843429940910549,23843429940900549,2019-07-11,2019-07-11
4,[EN]_18countries,2019-07-11,not_delivering,7414,8167,1.1015646074993,"Leads (form)",9,290.75111111111,2616.76,,,320.40651402,32,81.77375,0.39182074201053,32.7095,0.97955186,80,23843429940930549,23843429940900549,2019-07-11,2019-07-11
3,[EN]_18countries,2019-07-11,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-11,2019-07-11
6,[EN]_18countries,2019-07-10,rejected,12432,13300,1.0698198198198,"Leads (form)",13,469.45384615385,6102.9,,,458.86466165,64,95.3578125,0.4812030075188,36.76445783,1.2481203,166,23843429940890549,23843429940900549,2019-07-10,2019-07-10
3,[EN]_18countries,2019-07-10,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-10,2019-07-10
4,[EN]_18countries,2019-07-10,not_delivering,3953,4361,1.1032127498103,"Leads (form)",10,209.398,2093.98,,,480.16051364,23,91.0426087,0.52740197202476,29.08305556,1.65099748,72,23843429940930549,23843429940900549,2019-07-10,2019-07-10
1,[EN]_18countries,2019-07-10,not_delivering,3752,3950,1.0527718550107,"Leads (form)",9,204.97222222222,1844.75,,,467.02531646,27,68.32407407,0.68354430379747,30.24180328,1.5443038,61,23843429940920549,23843429940900549,2019-07-10,2019-07-10
2,[EN]_18countries,2019-07-10,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-10,2019-07-10
5,[EN]_18countries,2019-07-10,not_delivering,615,638,1.0373983739837,"Leads (form)",1,171.82,171.82,,,269.31034483,5,34.364,0.78369905956113,14.31833333,1.88087774,12,23843429940910549,23843429940900549,2019-07-10,2019-07-10
4,[EN]_18countries,2019-07-09,not_delivering,1056,1119,1.0596590909091,"Leads (form)",1,496.27,496.27,,,443.49419124,3,165.42333333,0.26809651474531,82.71166667,0.53619303,6,23843429940930549,23843429940900549,2019-07-09,2019-07-09
2,[EN]_18countries,2019-07-09,inactive,87,95,1.0919540229885,"Leads (form)",,,53.81,,,566.42105263,1,53.81,1.0526315789474,53.81,1.05263158,1,23843429940950549,23843429940900549,2019-07-09,2019-07-09
3,[EN]_18countries,2019-07-09,inactive,222,236,1.0630630630631,"Leads (form)",,,95.71,,,405.55084746,,,,95.71,0.42372881,1,23843429940940549,23843429940900549,2019-07-09,2019-07-09
6,[EN]_18countries,2019-07-09,rejected,11220,12282,1.0946524064171,"Leads (form)",19,273.86947368421,5203.52,,,423.67041199,54,96.36148148,0.43966780654617,31.53648485,1.34342941,165,23843429940890549,23843429940900549,2019-07-09,2019-07-09
5,[EN]_18countries,2019-07-09,not_delivering,245,249,1.0163265306122,"Leads (form)",,,66.69,,,267.8313253,1,66.69,0.40160642570281,33.345,0.80321285,2,23843429940910549,23843429940900549,2019-07-09,2019-07-09
1,[EN]_18countries,2019-07-09,not_delivering,5680,6126,1.0785211267606,"Leads (form)",12,282.0825,3384.99,,,552.5612145,32,105.7809375,0.52236369572315,42.312375,1.30590924,80,23843429940920549,23843429940900549,2019-07-09,2019-07-09
2,[EN]_18countries,2019-07-08,inactive,283,321,1.1342756183746,"Leads (form)",,,183.76,,,572.46105919,,,,183.76,0.31152648,1,23843429940950549,23843429940900549,2019-07-08,2019-07-08
4,[EN]_18countries,2019-07-08,not_delivering,1198,1310,1.093489148581,"Leads (form)",4,161.285,645.14,,,492.47328244,7,92.16285714,0.53435114503817,29.32454545,1.67938931,22,23843429940930549,23843429940900549,2019-07-08,2019-07-08
1,[EN]_18countries,2019-07-08,not_delivering,8334,9092,1.0909527237821,"Leads (form)",12,369.08666666667,4429.04,,,487.13594369,48,92.27166667,0.52793664760229,36.00845528,1.35283766,123,23843429940920549,23843429940900549,2019-07-08,2019-07-08
3,[EN]_18countries,2019-07-08,inactive,520,559,1.075,"Leads (form)",2,107.54,215.08,,,384.75849732,4,53.77,0.71556350626118,17.92333333,2.14669052,12,23843429940940549,23843429940900549,2019-07-08,2019-07-08
5,[EN]_18countries,2019-07-08,not_delivering,833,857,1.0288115246098,"Leads (form)",,,213.22,,,248.79813302,5,42.644,0.58343057176196,23.69111111,1.05017503,9,23843429940910549,23843429940900549,2019-07-08,2019-07-08
6,[EN]_18countries,2019-07-08,rejected,8998,9709,1.0790175594577,"Leads (form)",14,264.14785714286,3698.07,,,380.89092595,50,73.9614,0.51498609537542,27.59753731,1.38016274,134,23843429940890549,23843429940900549,2019-07-08,2019-07-08
3,[EN]_18countries,2019-07-07,inactive,105,120,1.1428571428571,"Leads (form)",,,37.58,,,313.16666667,,,,37.58,0.83333333,1,23843429940940549,23843429940900549,2019-07-07,2019-07-07
6,[EN]_18countries,2019-07-07,rejected,9054,9893,1.092666224873,"Leads (form)",11,387.18727272727,4259.06,,,430.51248357,41,103.8795122,0.41443444860002,32.5119084,1.3241686,131,23843429940890549,23843429940900549,2019-07-07,2019-07-07
5,[EN]_18countries,2019-07-07,not_delivering,1256,1331,1.0597133757962,"Leads (form)",1,356.36,356.36,,,267.73854245,4,89.09,0.30052592036063,23.75733333,1.1269722,15,23843429940910549,23843429940900549,2019-07-07,2019-07-07
1,[EN]_18countries,2019-07-07,not_delivering,5308,5664,1.0670685757347,"Leads (form)",7,369.75714285714,2588.3,,,456.97387006,26,99.55,0.4590395480226,40.4421875,1.1299435,64,23843429940920549,23843429940900549,2019-07-07,2019-07-07
2,[EN]_18countries,2019-07-07,inactive,237,265,1.1181434599156,"Leads (form)",,,99.94,,,377.13207547,,,,33.31333333,1.13207547,3,23843429940950549,23843429940900549,2019-07-07,2019-07-07
4,[EN]_18countries,2019-07-07,not_delivering,4676,5405,1.1559024807528,"Leads (form)",4,576.285,2305.14,,,426.48288622,28,82.32642857,0.51803885291397,26.80395349,1.59111933,86,23843429940930549,23843429940900549,2019-07-07,2019-07-07
6,[EN]_18countries,2019-07-06,rejected,7904,8616,1.0900809716599,"Leads (form)",12,362.6475,4351.77,,,505.08008357,39,111.58384615,0.45264623955432,38.85508929,1.29990715,112,23843429940890549,23843429940900549,2019-07-06,2019-07-06
4,[EN]_18countries,2019-07-06,not_delivering,3881,4419,1.1386240659624,"Leads (form)",6,342.455,2054.73,,,464.97623897,20,102.7365,0.45259108395565,28.53791667,1.6293279,72,23843429940930549,23843429940900549,2019-07-06,2019-07-06
1,[EN]_18countries,2019-07-06,not_delivering,5382,5722,1.0631735414344,"Leads (form)",16,201.39,3222.24,,,563.13177211,43,74.93581395,0.75148549458231,31.2838835,1.80006991,103,23843429940920549,23843429940900549,2019-07-06,2019-07-06
3,[EN]_18countries,2019-07-06,inactive,43,43,1,"Leads (form)",,,15.8,,,367.44186047,,,,,0,0,23843429940940549,23843429940900549,2019-07-06,2019-07-06
2,[EN]_18countries,2019-07-06,inactive,160,166,1.0375,"Leads (form)",,,62.94,,,379.15662651,1,62.94,0.60240963855422,62.94,0.60240964,1,23843429940950549,23843429940900549,2019-07-06,2019-07-06
5,[EN]_18countries,2019-07-06,not_delivering,872,898,1.0298165137615,"Leads (form)",3,84.393333333333,253.18,,,281.9376392,4,63.295,0.44543429844098,21.09833333,1.3363029,12,23843429940910549,23843429940900549,2019-07-06,2019-07-06
2,[EN]_18countries,2019-07-05,inactive,250,288,1.152,"Leads (form)",,,115.67,,,401.63194444,,,,57.835,0.69444444,2,23843429940950549,23843429940900549,2019-07-05,2019-07-05
3,[EN]_18countries,2019-07-05,inactive,106,111,1.0471698113208,"Leads (form)",,,45.96,,,414.05405405,,,,45.96,0.9009009,1,23843429940940549,23843429940900549,2019-07-05,2019-07-05
6,[EN]_18countries,2019-07-05,rejected,10672,12042,1.1283733133433,"Leads (form)",24,228.54708333333,5485.13,,,455.49991696,69,79.49463768,0.57299451918286,27.02034483,1.68576648,203,23843429940890549,23843429940900549,2019-07-05,2019-07-05
4,[EN]_18countries,2019-07-05,not_delivering,3235,3616,1.1177743431221,"Leads (form)",10,177.131,1771.31,,,489.8534292,20,88.5655,0.55309734513274,28.11603175,1.74225664,63,23843429940930549,23843429940900549,2019-07-05,2019-07-05
5,[EN]_18countries,2019-07-05,not_delivering,264,273,1.0340909090909,"Leads (form)",,,68.34,,,250.32967033,,,,68.34,0.36630037,1,23843429940910549,23843429940900549,2019-07-05,2019-07-05
1,[EN]_18countries,2019-07-05,not_delivering,4363,4935,1.131102452441,"Leads (form)",12,198.8375,2386.05,,,483.49544073,34,70.17794118,0.68895643363728,28.07117647,1.72239108,85,23843429940920549,23843429940900549,2019-07-05,2019-07-05
3,[EN]_18countries,2019-07-04,inactive,231,253,1.0952380952381,"Leads (form)",,,94.78,,,374.62450593,,,,47.39,0.79051383,2,23843429940940549,23843429940900549,2019-07-04,2019-07-04
2,[EN]_18countries,2019-07-04,inactive,258,280,1.0852713178295,"Leads (form)",,,136.19,,,486.39285714,2,68.095,0.71428571428571,19.45571429,2.5,7,23843429940950549,23843429940900549,2019-07-04,2019-07-04
1,[EN]_18countries,2019-07-04,not_delivering,2237,2420,1.0818059901654,"Leads (form)",6,190.19833333333,1141.19,,,471.5661157,17,67.12882353,0.70247933884298,19.01983333,2.47933884,60,23843429940920549,23843429940900549,2019-07-04,2019-07-04
4,[EN]_18countries,2019-07-04,not_delivering,3995,4370,1.0938673341677,"Leads (form)",6,346.43333333333,2078.6,,,475.65217391,19,109.4,0.43478260869565,29.69428571,1.60183066,70,23843429940930549,23843429940900549,2019-07-04,2019-07-04
5,[EN]_18countries,2019-07-04,not_delivering,271,280,1.0332103321033,"Leads (form)",,,90.56,,,323.42857143,1,90.56,0.35714285714286,45.28,0.71428571,2,23843429940910549,23843429940900549,2019-07-04,2019-07-04
6,[EN]_18countries,2019-07-04,rejected,14012,15055,1.074436197545,"Leads (form)",23,275.28086956522,6331.46,,,420.55529724,67,94.49940299,0.4450348721355,33.14900524,1.2686815,191,23843429940890549,23843429940900549,2019-07-04,2019-07-04
4,[EN]_18countries,2019-07-03,not_delivering,2989,3304,1.1053864168618,"Leads (form)",4,328.89,1315.56,,,398.17191283,17,77.38588235,0.51452784503632,25.79529412,1.54358354,51,23843429940930549,23843429940900549,2019-07-03,2019-07-03
1,[EN]_18countries,2019-07-03,not_delivering,1886,2009,1.0652173913043,"Leads (form)",5,201.732,1008.66,,,502.07068193,10,100.866,0.49776007964161,28.81885714,1.74216028,35,23843429940920549,23843429940900549,2019-07-03,2019-07-03
6,[EN]_18countries,2019-07-03,rejected,13152,14620,1.1116180048662,"Leads (form)",28,258.37785714286,7234.58,,,494.84131327,90,80.38422222,0.6155950752394,31.18353448,1.58686731,232,23843429940890549,23843429940900549,2019-07-03,2019-07-03
3,[EN]_18countries,2019-07-03,inactive,210,219,1.0428571428571,"Leads (form)",1,83.68,83.68,,,382.10045662,2,41.84,0.91324200913242,27.89333333,1.36986301,3,23843429940940549,23843429940900549,2019-07-03,2019-07-03
2,[EN]_18countries,2019-07-03,inactive,266,280,1.0526315789474,"Leads (form)",,,110.98,,,396.35714286,3,36.99333333,1.0714285714286,18.49666667,2.14285714,6,23843429940950549,23843429940900549,2019-07-03,2019-07-03
5,[EN]_18countries,2019-07-03,not_delivering,247,253,1.0242914979757,"Leads (form)",,,73.93,,,292.21343874,,,,,0,0,23843429940910549,23843429940900549,2019-07-03,2019-07-03
6,[EN]_18countries,2019-07-02,rejected,11372,12398,1.0902215969047,"Leads (form)",32,206.021875,6592.7,,,531.75512179,99,66.59292929,0.79851588965962,29.04273128,1.83094047,227,23843429940890549,23843429940900549,2019-07-02,2019-07-02
3,[EN]_18countries,2019-07-02,inactive,104,112,1.0769230769231,"Leads (form)",,,67.54,,,603.03571429,,,,33.77,1.78571429,2,23843429940940549,23843429940900549,2019-07-02,2019-07-02
1,[EN]_18countries,2019-07-02,not_delivering,3223,3347,1.0384734719206,"Leads (form)",4,390.4525,1561.81,,,466.62981775,14,111.55785714,0.41828503137138,33.9523913,1.3743651,46,23843429940920549,23843429940900549,2019-07-02,2019-07-02
2,[EN]_18countries,2019-07-02,inactive,205,217,1.0585365853659,"Leads (form)",,,104.34,,,480.82949309,,,,104.34,0.46082949,1,23843429940950549,23843429940900549,2019-07-02,2019-07-02
5,[EN]_18countries,2019-07-02,not_delivering,434,437,1.0069124423963,"Leads (form)",,,102.13,,,233.70709382,2,51.065,0.45766590389016,20.426,1.14416476,5,23843429940910549,23843429940900549,2019-07-02,2019-07-02
4,[EN]_18countries,2019-07-02,not_delivering,3305,3644,1.1025718608169,"Leads (form)",9,158.74222222222,1428.68,,,392.0636663,18,79.37111111,0.49396267837541,18.79842105,2.0856202,76,23843429940930549,23843429940900549,2019-07-02,2019-07-02
6,[EN]_18countries,2019-07-01,rejected,11764,12305,1.0459877592656,"Leads (form)",32,230.0515625,7361.65,,,598.26493295,84,87.63869048,0.68264932954084,32.71844444,1.82852499,225,23843429940890549,23843429940900549,2019-07-01,2019-07-01
1,[EN]_18countries,2019-07-01,not_delivering,2716,2785,1.0254050073638,"Leads (form)",5,304.488,1522.44,,,546.65709156,16,95.1525,0.57450628366248,39.03692308,1.40035907,39,23843429940920549,23843429940900549,2019-07-01,2019-07-01
3,[EN]_18countries,2019-07-01,inactive,91,94,1.032967032967,"Leads (form)",,,56.29,,,598.82978723,,,,,0,0,23843429940940549,23843429940900549,2019-07-01,2019-07-01
2,[EN]_18countries,2019-07-01,inactive,540,569,1.0537037037037,"Leads (form)",,,263.06,,,462.3198594,2,131.53,0.35149384885765,23.91454545,1.93321617,11,23843429940950549,23843429940900549,2019-07-01,2019-07-01
5,[EN]_18countries,2019-07-01,not_delivering,718,723,1.0069637883008,"Leads (form)",,,219.65,,,303.80359613,2,109.825,0.27662517289073,43.93,0.69156293,5,23843429940910549,23843429940900549,2019-07-01,2019-07-01
4,[EN]_18countries,2019-07-01,not_delivering,1134,1202,1.0599647266314,"Leads (form)",4,149.69,598.76,,,498.13643927,11,54.43272727,0.91514143094842,29.938,1.66389351,20,23843429940930549,23843429940900549,2019-07-01,2019-07-01
